# 2BIGB_name(J2000)       R.A.(deg)  Dec(deg)    N0(E-13)_2BIGB   N0_err(E-13)_2BIGB   Gamma_2BIGB  Gamma_err_2BIGB   Flux(0.5-500GeV)_2BIGB   Flux_err(0.5-500GeV)_2BIGB   TS_2BIGB   4FGLv20_name       PivotEnergy_2BIGB   5BZCat           sflag_3HSP  log(nu)_3HSP[Hz] log(nufnu)_3HSP[erg/sm2/s]   nuflag_3HSP   z_3HSP   zflag_3HSP   FOM_3HSP   WHSPnames               4FGL_Name_v20       R.A.4FGL_v20     Dec_4FGL_v20    sqrt(TS)_4FGL_v20   Pivot_Energy_4FGL_v20   N0_4FGL_v20      N0_err_4FGL_20   PL_Index_4FGL_v20   PL_Index_err_4FGL_v20   GAL_LONG             GAL_LAT              
  2BIGBJ000132.7-415525   0.38642    -41.92364   0.230592         0.0275004            1.7674       0.0851202         4.60309E-10              6.46965E-11                  218.983    0001.6-4156        3475.903            --               4            15.8           -11.7             1             ""       --           0.79       2WHSPJ000132.6-415524   "4FGL J0001.6-4156" 0.4165        -41.9425       0.0692               3475.903                2.4366343E-14    3.2843035E-15    1.8335938           0.097189896             334.3211751311353    -72.02938506434361   
  2BIGBJ000215.2-672653   0.56329    -67.44817   0.12656          0.0156088            1.83584      0.0911979         4.05841E-10              6.13231E-11                  187.071    0002.1-6728        4380.837            --               0            15.8           -11.8             1             0.52     3            0.63       2WHSPJ000215.1-672653   "4FGL J0002.1-6728" 0.5378        -67.4746       0.0352               4380.837                1.31245875E-14   1.939184E-15     1.8019888           0.09519692              310.0823181427532    -48.99159124059473   
  2BIGBJ000319.6-524727   0.8315     -52.79094   0.210278         0.0226502            1.92073      0.0869164         5.95664E-10              7.76615E-11                  245.111    0003.1-5248        3921.086            --               0            16.9           -11.9             1             0.37     5            0.5        2WHSPJ000319.5-524726   "4FGL J0003.1-5248" 0.7817        -52.8071       0.0333               3921.086                2.0852484E-14    2.7380336E-15    1.845431            0.09169981              318.94408620112716   -62.81595205412954   
  2BIGBJ000626.9+013610   1.61208    1.60294     0.221175         0.0538009            2.03116      0.18108           2.72645E-10              7.87516E-11                  33.0697    0006.4+0135        2459.6868           --               0            16.4           -12.6             1             0.787    2            0.1        2WHSPJ000626.8+013610   "4FGL J0006.4+0135" 1.6094        1.5982         0.0731               2459.6868               2.9584015E-14    6.236865E-15     2.0946035           0.16339187              100.48553914712703   -59.29394327011636   
  2BIGBJ000835.4-233927   2.14742    -23.65772   0.0593082        0.00980184           1.70836      0.115734          2.96899E-10              6.08092E-11                  121.505    0008.4-2339        6084.1147           5BZBJ0008-2339   0            17.0           -11.7             1             0.147    1            0.79       2WHSPJ000835.2-233926   "4FGL J0008.4-2339" 2.111         -23.6514       0.0413               6084.1147               6.6757923E-15    1.1654648E-15    1.6839513           0.11275502              50.302177742409825   -79.7241349479384    
  2BIGBJ000922.7+503028   2.34479    50.50797    12.5849          0.431829             2.02265      0.0279719         4.3185E-9                1.477E-10                    3124.86    0009.3+5030        1310.5244           5BZBJ0009+5030   0            15.1           -11.8             1             0.25     5            0.63       2WHSPJ000922.6+503028   "4FGL J0009.3+5030" 2.3466        50.5115        0.0137               1310.5244               1.5285275E-12    5.0853774E-14    1.987031            0.02373188              116.12260743433515   -11.806877842233341  
  2BIGBJ000949.7-431650   2.45729    -43.28058   0.508611         0.0752831            2.21504      0.144809          4.314E-10                7.59057E-11                  95.3391    0009.8-4317        1959.596            --               0            15.3           -12.0             1             0.23     4            0.4        2WHSPJ000949.6-431650   "4FGL J0009.8-4317" 2.4533        -43.2979       0.046                1959.596                5.8746444E-14    8.825389E-15     2.145199            0.12928359              327.795558276653     -71.78251667038137   
  2BIGBJ001356.0-185406   3.4835     -18.90181   0.375281         0.0522839            1.94892      0.109742          4.94411E-10              8.30769E-11                  149.843    0013.9-1854        2609.2893           5BZGJ0013-1854   0            17.4           -11.3             1             0.094    1            2.0        2WHSPJ001355.9-185406   "4FGL J0013.9-1854" 3.4804        -18.9118       0.0395               2609.2893               4.1416225E-14    5.820269E-15     1.9660697           0.10228895              74.63192582462341    -78.08686860784428   
  2BIGBJ001411.5-502234   3.54771    -50.37636   0.434995         0.0499232            2.12636      0.106169          6.14622E-10              8.40266E-11                  180.148    0014.1-5022        2545.143            5BZBJ0014-5022   0            17.5           -11.6             1             0.01     2            1.0        2WHSPJ001411.3-502233   "4FGL J0014.1-5022" 3.5479        -50.3703       0.0607               2545.143                4.0156738E-14    5.7531367E-15    1.9924736           0.10604622              317.4480771955893    -65.68909212940035   
  2BIGBJ001442.1+580201   3.67538    58.03367    0.0246621        0.00170003           1.71293      0.0326226         2.81291E-10              2.43454E-11                  68.2773    0014.7+5801        9809.645            5BZBJ0014+5802   0            16.0           -11.7             2             0.35     5            0.79       --                      "4FGL J0014.7+5801" 3.6867        58.0272        0.0316               9809.645                3.5947003E-15    6.2901657E-16    1.7403266           0.11043132              118.06971529046895   -4.490848763470886   
